2025-07-31 16:59:45,025 - INFO - [GAZE] Session: session_9888 | Iris: [0.0256, -0.0309, 0.0002, -0.0109] | Prediction: up
2025-07-31 16:59:45,098 - INFO - [GAZE] Session: session_9888 | Iris: [0.0264, -0.0289, -0.0035, -0.0109] | Prediction: up
2025-07-31 16:59:45,175 - INFO - [GAZE] Session: session_9888 | Iris: [0.0278, -0.0253, -0.0018, -0.0079] | Prediction: up
2025-07-31 16:59:45,255 - INFO - [GAZE] Session: session_9888 | Iris: [0.0292, -0.0266, -0.0033, -0.0089] | Prediction: up
2025-07-31 16:59:45,334 - INFO - [GAZE] Session: session_9888 | Iris: [0.0283, -0.0269, -0.0007, -0.0045] | Prediction: up
2025-07-31 16:59:45,409 - INFO - [GAZE] Session: session_9888 | Iris: [0.0278, -0.026, -0.0032, -0.0054] | Prediction: up
2025-07-31 16:59:45,482 - INFO - [GAZE] Session: session_9888 | Iris: [0.0281, -0.028, -0.0016, -0.0058] | Prediction: up
2025-07-31 16:59:45,584 - INFO - [GAZE] Session: session_9888 | Iris: [0.0282, -0.0282, 0.0017, -0.0073] | Prediction: up
2025-07-31 16:59:45,682 - INFO - [GAZE] Session: session_9888 | Iris: [0.0278, -0.0263, -0.0034, -0.0058] | Prediction: up
2025-07-31 16:59:45,771 - INFO - [GAZE] Session: session_9888 | Iris: [0.03, -0.0268, -0.0008, -0.0059] | Prediction: up
2025-07-31 16:59:45,860 - INFO - [GAZE] Session: session_9888 | Iris: [0.0261, -0.0283, 0.001, -0.0101] | Prediction: up
2025-07-31 16:59:46,118 - INFO - [GAZE] Session: session_9888 | Iris: [0.0284, -0.0263, 0.0013, -0.0092] | Prediction: up
2025-07-31 16:59:46,185 - INFO - [GAZE] Session: session_9888 | Iris: [0.0274, -0.0264, -0.0016, -0.0077] | Prediction: up
2025-07-31 16:59:46,263 - INFO - [GAZE] Session: session_9888 | Iris: [0.0276, -0.0256, 0.0001, -0.006] | Prediction: up
2025-07-31 16:59:46,351 - INFO - [GAZE] Session: session_9888 | Iris: [0.0279, -0.027, -0.003, -0.0024] | Prediction: up
2025-07-31 16:59:46,431 - INFO - [GAZE] Session: session_9888 | Iris: [0.0269, -0.0266, -0.0038, -0.0059] | Prediction: up
2025-07-31 16:59:46,508 - INFO - [GAZE] Session: session_9888 | Iris: [0.0281, -0.0266, -0.0037, -0.0071] | Prediction: up
2025-07-31 16:59:46,583 - INFO - [GAZE] Session: session_9888 | Iris: [0.0278, -0.0271, -0.0004, -0.0052] | Prediction: up
2025-07-31 16:59:46,655 - INFO - [GAZE] Session: session_9888 | Iris: [0.0279, -0.0272, 0.0005, -0.0067] | Prediction: up
2025-07-31 16:59:46,746 - INFO - [GAZE] Session: session_9888 | Iris: [0.027, -0.0262, -0.0013, -0.007] | Prediction: up
2025-07-31 16:59:46,828 - INFO - [GAZE] Session: session_9888 | Iris: [0.028, -0.0263, 0.0003, -0.0066] | Prediction: up
2025-07-31 16:59:46,912 - INFO - [GAZE] Session: session_9888 | Iris: [0.0287, -0.0266, 0.0008, -0.0056] | Prediction: up
2025-07-31 16:59:47,000 - INFO - [GAZE] Session: session_9888 | Iris: [0.0285, -0.0273, 0.0001, -0.0074] | Prediction: up
2025-07-31 16:59:47,078 - INFO - [GAZE] Session: session_9888 | Iris: [0.0268, -0.0271, 0.0011, -0.0059] | Prediction: up
2025-07-31 16:59:47,158 - INFO - [GAZE] Session: session_9888 | Iris: [0.0279, -0.0271, 0.0001, -0.0063] | Prediction: up
2025-07-31 16:59:47,246 - INFO - [GAZE] Session: session_9888 | Iris: [0.0284, -0.0268, 0.0009, -0.0054] | Prediction: up
2025-07-31 16:59:47,341 - INFO - [GAZE] Session: session_9888 | Iris: [0.0288, -0.0282, -0.0006, -0.0066] | Prediction: up
2025-07-31 16:59:47,440 - INFO - [GAZE] Session: session_9888 | Iris: [0.027, -0.0274, 0.0003, -0.0074] | Prediction: up
2025-07-31 16:59:47,589 - INFO - [GAZE] Session: session_9888 | Iris: [0.0272, -0.0281, -0.0011, -0.0059] | Prediction: up
2025-07-31 16:59:47,667 - INFO - [GAZE] Session: session_9888 | Iris: [0.028, -0.0267, -0.0033, -0.0061] | Prediction: up
2025-07-31 16:59:47,738 - INFO - [GAZE] Session: session_9888 | Iris: [0.0277, -0.0266, -0.001, -0.0069] | Prediction: up
2025-07-31 16:59:47,836 - INFO - [GAZE] Session: session_9888 | Iris: [0.0287, -0.0273, -0.0013, -0.0031] | Prediction: up
2025-07-31 16:59:47,940 - INFO - [GAZE] Session: session_9888 | Iris: [0.0275, -0.0262, -0.0016, -0.0067] | Prediction: up
2025-07-31 16:59:48,027 - INFO - [GAZE] Session: session_9888 | Iris: [0.0294, -0.0279, 0.0007, -0.0041] | Prediction: up
2025-07-31 16:59:48,107 - INFO - [GAZE] Session: session_9888 | Iris: [0.0293, -0.0286, -0.001, -0.0043] | Prediction: up
2025-07-31 16:59:48,174 - INFO - [GAZE] Session: session_9888 | Iris: [0.0274, -0.0275, 0.0009, -0.0066] | Prediction: up
2025-07-31 16:59:48,244 - INFO - [GAZE] Session: session_9888 | Iris: [0.0273, -0.028, -0.002, -0.0031] | Prediction: up
2025-07-31 16:59:48,325 - INFO - [GAZE] Session: session_9888 | Iris: [0.0286, -0.027, -0.0013, -0.0059] | Prediction: up
2025-07-31 16:59:48,408 - INFO - [GAZE] Session: session_9888 | Iris: [0.0272, -0.0258, 0.0004, -0.0073] | Prediction: up
2025-07-31 16:59:48,499 - INFO - [GAZE] Session: session_9888 | Iris: [0.0278, -0.0284, -0.0023, -0.0057] | Prediction: up
2025-07-31 16:59:48,582 - INFO - [GAZE] Session: session_9888 | Iris: [0.0273, -0.0285, -0.0024, -0.0024] | Prediction: up
2025-07-31 16:59:48,664 - INFO - [GAZE] Session: session_9888 | Iris: [0.0287, -0.0265, 0.0002, -0.0028] | Prediction: up
2025-07-31 16:59:48,743 - INFO - [GAZE] Session: session_9888 | Iris: [0.0304, -0.0268, 0.0004, -0.0072] | Prediction: up
2025-07-31 16:59:48,838 - INFO - [GAZE] Session: session_9888 | Iris: [0.0286, -0.0273, -0.0018, -0.0071] | Prediction: up
2025-07-31 16:59:48,937 - INFO - [GAZE] Session: session_9888 | Iris: [0.0274, -0.0283, -0.0017, -0.0053] | Prediction: up
2025-07-31 16:59:49,024 - INFO - [GAZE] Session: session_9888 | Iris: [0.0282, -0.0276, -0.0024, -0.0051] | Prediction: up
